name,kills
mikeysamsam,27
PixelMangos,28
spikey_001,56
ConesOdebrecht,82
guyswanatem,21
pioluisconrado,16
Cogus_0828,57
HarArkhichen,44
pancake_w1,40
pensmen,53
Sunfull1,50
Kazuyuki_Owen,57
Oscarchoyzy24,22
rttt_1234567,57
Xernicus,64
nickthegodrider1289,59
polkomgyy44,65
CommanderHikari,51
Justin_Beber17,51
SeaV1per1224,75
Dawnftb,61
anathaliakdc,0

chickenkampong,30
jesterproandnoob,46
pancake_w1,14
nickthegodrider1289,47
kite_167,36
Iyuhaa,24
anathaliakdc,30
jgwen19,50
Dawnftb,18
shield_4545,26
aryafariziii160,41
Kazuyuki_Owen,41
ckpoa20,18
commander_cookie1234,29
mrflipsflapz,41
polkomgyy44,28
chanmeme1,31
pioluisconrado,28
DiamondMarkDragon,14
Gariksz,70
CommanderHikari,48
GRADE4092,30
MrDerps124,56
1usyhd_good4,16
camper8903,36
David_Theusless,21
raka6792,35
spikey_001,39

GGXDArusha,37
spikey_001,46
nickthegodrider1289,43
aryafariziii160,49
jamesplayztv1,34
jesterproandnoob,59
HiddenAjin,53
SeaV1per1224,62
mrflipsflapz,53
kurtdylan1111,31
pancake_w1,30
polkomgyy44,69
shield_4545,35
chickenkampong,50
wninju,50
SHADOWARDEN,37
safe_tram,37
Dawnftb,24
kite_167,32
commander_cookie1234,28
jgwen19,58
Kazuyuki_Owen,64
HarArkhichen,33
Indonesia_ofMalaysia,49
Mrbombinleipzig,55
jellyy112345,53
Luqman_indo,29
anathaliakdc,37
ConesOdebrecht,65


Dawnftb,37
Oscarchoyzy24,24
shield_4545,36
polkomgyy44,58
Kazuyuki_Owen,67
Cogus_0828,51
jamesplayztv1,48
aryafariziii160,60
rttt_1234567,44
WazibaXD,50
anathaliakdc,43
David_Theusless,33
kylemanike,69
Sunfull1,47
PekaRockRuff,45
jesterproandnoob,60
mrflipsflapz,61
Kunfah2012,18
pensmen,61
Xernicus,23
encik_Faris,47
hotdoges142,31

JEJU_0P3RAT0R,50
shield_4545,18
kite_167,36
Cogus_0828,50
Xernicus,65
mrflipsflapz,50
aryafariziii160,59
David_Theusless,32
jesterproandnoob,63
Kazuyuki_Owen,36
Fight_Strategy,32
anathaliakdc,29
Haloinqsss,27
PixelMangos,30
raka6792,34
Sunfull1,46
polkomgyy44,62
rttt_1234567,51
jamesplayztv1,52
pensmen,70
commander_cookie1234,35
nickthegodrider1289,43
Oscarchoyzy24,77
pioluisconrado,8
Dawnftb,50

polkomgyy44,60
jiajun129,42
jesterproandnoob,72
Kazuyuki_Owen,47
SGTjmtzy,13
bigshockwave99,59
JEJU_0P3RAT0R,56
kite_167,33
Tejshun_gaming12,50
Xernicus,38
SeaV1per1224,80
Dawnftb,22
pancake_w1,37
Cogus_0828,35
aryafariziii160,50
rttt_1234567,33
commander_cookie1234,56
jamesplayztv1,52
mahoney134,47
CommanderHikari,44
DaReal_Shradicle,48
HarArkhichen,96
mrflipsflapz,52
anathaliakdc,28
Sunfull1,41
Oscarchoyzy24,92
nickthegodrider1289,62
chanmeme1,65
shield_4545,19
Wancare,49
kurtdylan1111,25
farooq7242,21

Dawnftb,21
IceBlox_Officical,26
OblivionSectis,103
nickthegodrider1289,54
Kazuyuki_Owen,51
mrflipsflapz,74
HarArkhichen,77
pancake_w1,41
DecayingArmor,46
supermanakmeeee_twin,52
DaReal_Shradicle,31
jesterproandnoob,63
David_Theusless,28
pensmen,73
jellyy112345,27
